t,o,h,l,c,v
1720062000000,58965.1,59158.1,58835.0,59105.8,439811.5
1720065600000,59105.7,59160.0,58724.0,58966.3,394040.6
1720069200000,58966.3,59048.0,58863.0,58892.5,261460.5
1720072800000,58896.8,59096.7,58541.4,58797.5,720004.7
1720076400000,58797.6,58865.8,58088.8,58237.5,882907.0
1720080000000,58237.5,58508.4,57176.9,57696.7,1979991.6
1720083600000,57696.8,57866.9,56968.6,57740.3,1520914.1
1720087200000,57740.3,57948.0,57431.0,57939.0,603500.3
1720090800000,57938.9,58104.0,57668.6,57762.0,543950.7
1720094400000,57762.0,57762.0,57160.0,57255.7,860535.0
1720098000000,57255.7,57495.0,56758.0,57421.2,1603356.8
1720101600000,57421.3,57545.8,56851.9,57454.7,960784.3
1720105200000,57454.7,58352.0,57364.0,58140.1,1181837.1
1720108800000,58140.2,58386.0,57740.0,58288.0,775630.8
1720112400000,58288.0,58387.9,58086.6,58240.5,367096.6
1720116000000,58240.6,58369.9,57932.3,58162.4,349233.0
1720119600000,58162.3,58675.4,58135.1,58279.8,482102.4
1720123200000,58279.7,58355.0,58130.8,58355.0,151940.3
1720126800000,58355.0,58650.0,58288.0,58491.8,134823.7
1720130400000,58491.8,58821.8,58010.0,58050.1,382728.6
1720134000000,58050.2,58122.7,56825.0,57065.2,1492098.6
1720137600000,57065.2,57559.5,56670.0,57386.0,1566086.0
1720141200000,57386.0,57455.8,56807.5,57177.5,761399.7
1720144800000,57177.5,57250.0,55388.0,55750.0,2457381.7
1720148400000,55750.0,56000.0,54958.8,55240.6,2433817.1
1720152000000,55240.6,55370.3,53222.3,53941.8,2877867.2
1720155600000,53941.6,54798.9,53791.5,54798.9,1096107.7
1720159200000,54798.9,54800.0,53869.3,54291.2,1150005.6
1720162800000,54291.2,54449.4,53956.2,54401.1,649127.9
1720166400000,54401.2,54444.0,54055.0,54085.7,758356.6
1720170000000,54085.6,54737.0,53888.0,54523.1,899884.4
1720173600000,54523.0,55355.0,54400.0,54979.9,1194479.7
1720177200000,54980.0,55662.4,54979.9,55490.0,1150693.7
1720180800000,55489.9,56070.0,54970.3,55062.8,1664468.3
1720184400000,55062.8,55899.9,54841.5,55838.9,1389499.5
1720188000000,55841.9,55910.0,55341.5,55753.0,823000.1
1720191600000,55752.9,56698.9,55655.4,56678.3,1476587.9
1720195200000,56678.3,56955.0,56158.0,56458.4,1085179.9
1720198800000,56458.5,57065.4,56302.2,56470.2,678943.7
1720202400000,56470.2,56739.7,55820.0,56548.4,956122.0
1720206000000,56548.5,56760.0,56330.8,56469.8,331648.3
1720209600000,56469.9,56524.3,56318.5,56354.2,174039.2
1720213200000,56354.2,56810.9,56352.3,56520.7,144664.8
1720216800000,56519.0,56740.0,56402.0,56630.1,171503.0
1720220400000,56630.0,56868.1,56610.2,56620.0,200206.8
1720224000000,56620.0,57022.9,56372.0,56614.4,568913.2
1720227600000,56614.5,56629.4,56209.8,56222.2,390300.7
1720231200000,56222.2,56500.0,56177.1,56435.2,313191.4
1720234800000,56435.2,56526.8,56265.6,56411.3,135134.7
1720238400000,56411.2,56419.4,56044.4,56069.3,259706.3
1720242000000,56069.3,56491.6,56027.7,56359.5,432060.5
1720245600000,56359.6,56576.8,56347.1,56415.3,188587.7
1720249200000,56415.2,56678.0,56401.0,56595.5,269372.7
1720252800000,56595.4,56673.2,56505.4,56563.1,127775.9
1720256400000,56563.2,56775.8,56438.8,56768.4,186195.5
1720260000000,56768.5,56894.8,56650.8,56781.9,310586.6
1720263600000,56782.0,56807.5,56652.0,56736.8,108540.7
1720267200000,56736.8,56791.7,56505.0,56752.5,204938.8
1720270800000,56752.6,57400.0,56650.0,56994.9,663801.2
1720274400000,56994.9,57132.0,56713.2,57054.8,455086.2
1720278000000,57054.9,57466.4,56923.7,57310.2,563085.4
1720281600000,57310.2,58138.1,57182.2,57859.1,1082366.2
1720285200000,57859.0,58039.6,57740.7,57966.4,229940.7
1720288800000,57966.4,58028.8,57754.0,57792.4,204163.2
1720292400000,57790.4,57930.2,57732.2,57862.2,140180.8
1720296000000,57862.3,58236.5,57831.5,57964.9,273602.4
1720299600000,57964.9,58287.9,57831.1,57877.2,179543.5
1720303200000,57877.2,58114.9,57877.2,58104.6,107425.4
1720306800000,58104.7,58499.8,58097.1,58233.1,490565.7
1720310400000,58233.1,58289.5,57900.0,57929.9,253966.9
1720314000000,57929.8,58325.0,57838.0,58115.0,276489.2
1720317600000,58115.0,58456.0,58106.3,58368.2,368698.4
1720321200000,58368.9,58368.9,57865.9,57963.5,568204.3
1720324800000,57963.5,58008.0,57579.0,57606.3,538290.9
1720328400000,57606.4,57815.7,57423.0,57657.0,387821.4
1720332000000,57657.1,57802.9,57611.1,57648.8,160306.4
1720335600000,57648.8,57699.1,57066.0,57375.6,579437.6
1720339200000,57375.9,57679.2,57372.5,57658.0,286837.3
1720342800000,57657.9,57747.6,57571.8,57737.4,243822.6
1720346400000,57737.4,57930.6,57494.2,57511.1,437695.2
1720350000000,57511.1,57556.5,57347.4,57459.4,213697.2
1720353600000,57459.3,57657.7,57200.1,57349.9,238444.7
1720357200000,57350.0,57372.5,56771.6,56879.0,690963.7
1720360800000,56879.0,56956.0,56568.0,56773.8,556176.4
1720364400000,56773.8,57063.0,56725.0,56832.0,282647.5
1720368000000,56832.1,57186.9,56752.5,57119.9,254981.4
1720371600000,57119.9,57312.0,56786.7,57239.8,339198.0
1720375200000,57239.7,57398.7,57112.6,57169.1,183964.8
1720378800000,57169.1,57200.0,57022.0,57154.5,91100.1
1720382400000,57154.5,57326.0,57035.6,57270.0,78592.2
1720386000000,57270.0,57290.0,56196.2,56590.5,683283.9
1720389600000,56587.7,56797.5,56391.3,56391.3,301991.9
1720393200000,56391.4,56539.1,55727.6,55870.1,740184.0
1720396800000,55870.0,56030.0,55037.9,55098.9,1212423.2
1720400400000,55098.9,55115.2,54280.0,54963.8,1561467.5
