t,o,h,l,c,v
1719195300000,63237.2,63300.0,63200.0,63214.0,42851.2
1719196200000,63214.1,63266.2,63077.7,63077.8,57552.0
1719197100000,63077.8,63117.0,62666.8,62876.9,402913.0
1719198000000,62877.0,62976.9,62762.7,62976.8,150103.2
1719198900000,62976.9,63086.0,62928.5,63002.7,86065.8
1719199800000,63002.7,63002.7,62880.7,62889.4,50736.5
1719200700000,62889.4,62953.0,62855.4,62867.9,42053.7
1719201600000,62868.0,62886.9,62655.0,62690.0,152389.8
1719202500000,62690.0,62801.9,62686.7,62750.7,85540.7
1719203400000,62750.6,62950.0,62709.2,62895.8,87367.8
1719204300000,62895.8,62954.0,62840.0,62840.0,50473.1
1719205200000,62840.1,62887.1,62711.1,62745.4,79200.4
1719206100000,62745.4,62767.7,62489.2,62631.8,359917.2
1719207000000,62631.9,62649.3,62266.3,62284.0,381448.7
1719207900000,62284.0,62449.4,62276.1,62310.8,181468.2
1719208800000,62310.9,62399.4,62158.4,62291.8,292764.8
1719209700000,62291.7,62400.0,62223.0,62321.0,127347.2
1719210600000,62321.0,62433.2,62319.4,62358.6,66529.7
1719211500000,62358.5,62400.0,62272.0,62395.4,93290.1
1719212400000,62395.5,62410.0,62216.1,62293.8,130922.0
1719213300000,62293.3,62300.0,62188.0,62299.9,99196.8
1719214200000,62300.0,62563.4,62288.1,62560.6,162405.4
1719215100000,62560.6,62587.0,62426.1,62457.1,77716.2
1719216000000,62457.1,62560.0,62327.2,62383.1,93279.3
1719216900000,62383.2,62769.2,62352.3,62725.0,198271.4
1719217800000,62724.9,62963.2,62694.0,62843.0,216253.2
1719218700000,62843.0,62944.1,62590.9,62738.4,206443.0
1719219600000,62738.9,62864.5,62463.3,62502.5,176661.1
1719220500000,62502.5,62540.7,62024.4,62149.9,427646.6
1719221400000,62149.9,62149.9,60600.0,61074.0,2059254.1
1719222300000,61074.1,61490.6,61030.9,61394.1,323435.8
1719223200000,61394.0,61571.6,61307.2,61492.2,221494.3
1719224100000,61492.2,61564.9,61233.9,61346.3,195203.6
1719225000000,61346.3,61354.7,61135.1,61190.0,147535.2
1719225900000,61190.0,61268.0,61125.1,61178.4,113791.6
1719226800000,61178.3,61300.0,61033.7,61088.1,168743.7
1719227700000,61088.0,61180.4,60856.0,60895.6,257373.0
1719228600000,60895.5,61180.0,60834.1,61174.4,138608.7
1719229500000,61174.4,61383.7,61130.3,61282.3,114485.1
1719230400000,61282.0,61388.0,61200.1,61380.4,110821.5
1719231300000,61380.5,61495.7,61325.0,61332.2,136235.0
1719232200000,61332.1,61384.9,61130.0,61132.4,113848.2
1719233100000,61132.4,61220.0,61121.5,61220.0,64274.9
1719234000000,61220.0,61220.0,61027.5,61042.4,102295.5
1719234900000,61042.3,61288.0,60937.2,61270.0,189304.1
1719235800000,61270.0,61554.0,61247.4,61330.3,241327.1
1719236700000,61330.3,61650.0,61253.6,61577.9,195045.5
1719237600000,61577.9,61699.9,61406.5,61443.2,202473.7
1719238500000,61443.1,61478.6,61254.7,61264.8,140359.6
1719239400000,61264.9,61415.0,61133.9,61154.2,131656.6
1719240300000,61154.2,61360.0,61087.6,61297.9,172595.3
1719241200000,61297.9,61365.8,61158.2,61210.2,82710.6
1719242100000,61210.2,61349.9,61120.0,61275.0,89678.7
1719243000000,61275.1,61337.5,61088.6,61170.6,113974.5
1719243900000,61170.6,61173.5,60680.0,60853.1,376616.6
1719244800000,60853.2,60952.6,60653.2,60922.1,292919.9
1719245700000,60922.1,61056.1,60725.0,60876.1,218401.2
1719246600000,60876.1,60961.8,60357.1,60561.8,487392.3
